Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
CPEG324010,04/06/2016,10:10 AM,04/06/2016,11:00 AM,False,SHL118
CPEG324010,04/08/2016,10:10 AM,04/08/2016,11:00 AM,False,SHL118
CPEG324010,04/11/2016,10:10 AM,04/11/2016,11:00 AM,False,SHL118
CPEG324010,04/13/2016,10:10 AM,04/13/2016,11:00 AM,False,SHL118
CPEG324010,04/15/2016,10:10 AM,04/15/2016,11:00 AM,False,SHL118
CPEG324010,04/18/2016,10:10 AM,04/18/2016,11:00 AM,False,SHL118
CPEG324010,04/20/2016,10:10 AM,04/20/2016,11:00 AM,False,SHL118
CPEG324010,04/22/2016,10:10 AM,04/22/2016,11:00 AM,False,SHL118
CPEG324010,04/25/2016,10:10 AM,04/25/2016,11:00 AM,False,SHL118
CPEG324010,04/27/2016,10:10 AM,04/27/2016,11:00 AM,False,SHL118
CPEG324010,04/29/2016,10:10 AM,04/29/2016,11:00 AM,False,SHL118
CPEG324010,05/02/2016,10:10 AM,05/02/2016,11:00 AM,False,SHL118
CPEG324010,05/04/2016,10:10 AM,05/04/2016,11:00 AM,False,SHL118
CPEG324010,05/06/2016,10:10 AM,05/06/2016,11:00 AM,False,SHL118
CPEG324010,05/09/2016,10:10 AM,05/09/2016,11:00 AM,False,SHL118
CPEG324010,05/11/2016,10:10 AM,05/11/2016,11:00 AM,False,SHL118
CPEG324010,05/13/2016,10:10 AM,05/13/2016,11:00 AM,False,SHL118
CPEG324010,05/16/2016,10:10 AM,05/16/2016,11:00 AM,False,SHL118
CPEG324020L,02/09/2016,2:00 PM,02/09/2016,5:00 PM,False,PRS101D
CPEG324020L,02/16/2016,2:00 PM,02/16/2016,5:00 PM,False,PRS101D
CPEG324020L,02/23/2016,2:00 PM,02/23/2016,5:00 PM,False,PRS101D
CPEG324020L,03/01/2016,2:00 PM,03/01/2016,5:00 PM,False,PRS101D
CPEG324020L,03/08/2016,2:00 PM,03/08/2016,5:00 PM,False,PRS101D
CPEG324020L,03/15/2016,2:00 PM,03/15/2016,5:00 PM,False,PRS101D
CPEG324020L,03/22/2016,2:00 PM,03/22/2016,5:00 PM,False,PRS101D
CPEG324020L,04/05/2016,2:00 PM,04/05/2016,5:00 PM,False,PRS101D
CPEG324020L,04/12/2016,2:00 PM,04/12/2016,5:00 PM,False,PRS101D
CPEG324020L,04/19/2016,2:00 PM,04/19/2016,5:00 PM,False,PRS101D
CPEG324020L,04/26/2016,2:00 PM,04/26/2016,5:00 PM,False,PRS101D
CPEG324020L,05/03/2016,2:00 PM,05/03/2016,5:00 PM,False,PRS101D
CPEG324020L,05/10/2016,2:00 PM,05/10/2016,5:00 PM,False,PRS101D
CPEG324020L,05/17/2016,2:00 PM,05/17/2016,5:00 PM,False,PRS101D
CPEG499010,02/09/2016,5:00 PM,02/09/2016,6:15 PM,False,EVN129
CPEG499010,02/11/2016,5:00 PM,02/11/2016,6:15 PM,False,EVN129
CPEG499010,02/16/2016,5:00 PM,02/16/2016,6:15 PM,False,EVN129
CPEG499010,02/18/2016,5:00 PM,02/18/2016,6:15 PM,False,EVN129
CPEG499010,02/23/2016,5:00 PM,02/23/2016,6:15 PM,False,EVN129
CPEG499010,02/25/2016,5:00 PM,02/25/2016,6:15 PM,False,EVN129
CPEG499010,03/01/2016,5:00 PM,03/01/2016,6:15 PM,False,EVN129
CPEG499010,03/03/2016,5:00 PM,03/03/2016,6:15 PM,False,EVN129
CPEG499010,03/08/2016,5:00 PM,03/08/2016,6:15 PM,False,EVN129
CPEG499010,03/10/2016,5:00 PM,03/10/2016,6:15 PM,False,EVN129
CPEG499010,03/15/2016,5:00 PM,03/15/2016,6:15 PM,False,EVN129
CPEG499010,03/17/2016,5:00 PM,03/17/2016,6:15 PM,False,EVN129
CPEG499010,03/22/2016,5:00 PM,03/22/2016,6:15 PM,False,EVN129
CPEG499010,03/24/2016,5:00 PM,03/24/2016,6:15 PM,False,EVN129
CPEG499010,04/05/2016,5:00 PM,04/05/2016,6:15 PM,False,EVN129
CPEG499010,04/07/2016,5:00 PM,04/07/2016,6:15 PM,False,EVN129
CPEG499010,04/12/2016,5:00 PM,04/12/2016,6:15 PM,False,EVN129
CPEG499010,04/14/2016,5:00 PM,04/14/2016,6:15 PM,False,EVN129
CPEG499010,04/19/2016,5:00 PM,04/19/2016,6:15 PM,False,EVN129
CPEG499010,04/21/2016,5:00 PM,04/21/2016,6:15 PM,False,EVN129
CPEG499010,04/26/2016,5:00 PM,04/26/2016,6:15 PM,False,EVN129
CPEG499010,04/28/2016,5:00 PM,04/28/2016,6:15 PM,False,EVN129
CPEG499010,05/03/2016,5:00 PM,05/03/2016,6:15 PM,False,EVN129
CPEG499010,05/05/2016,5:00 PM,05/05/2016,6:15 PM,False,EVN129
CPEG499010,05/10/2016,5:00 PM,05/10/2016,6:15 PM,False,EVN129
CPEG499010,05/12/2016,5:00 PM,05/12/2016,6:15 PM,False,EVN129
CPEG499010,05/17/2016,5:00 PM,05/17/2016,6:15 PM,False,EVN129
CPEG622010,02/09/2016,11:00 AM,02/09/2016,12:15 PM,False,SHL103
CPEG622010,02/11/2016,11:00 AM,02/11/2016,12:15 PM,False,SHL103
CPEG622010,02/16/2016,11:00 AM,02/16/2016,12:15 PM,False,SHL103
CPEG622010,02/18/2016,11:00 AM,02/18/2016,12:15 PM,False,SHL103
CPEG622010,02/23/2016,11:00 AM,02/23/2016,12:15 PM,False,SHL103
CPEG622010,02/25/2016,11:00 AM,02/25/2016,12:15 PM,False,SHL103
CPEG622010,03/01/2016,11:00 AM,03/01/2016,12:15 PM,False,SHL103
CPEG622010,03/03/2016,11:00 AM,03/03/2016,12:15 PM,False,SHL103
CPEG622010,03/08/2016,11:00 AM,03/08/2016,12:15 PM,False,SHL103
CPEG622010,03/10/2016,11:00 AM,03/10/2016,12:15 PM,False,SHL103
CPEG622010,03/15/2016,11:00 AM,03/15/2016,12:15 PM,False,SHL103
CPEG622010,03/17/2016,11:00 AM,03/17/2016,12:15 PM,False,SHL103
CPEG622010,03/22/2016,11:00 AM,03/22/2016,12:15 PM,False,SHL103
CPEG622010,03/24/2016,11:00 AM,03/24/2016,12:15 PM,False,SHL103
CPEG622010,04/05/2016,11:00 AM,04/05/2016,12:15 PM,False,SHL103
