Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
CISC275011,02/10/2015,12:30 PM,02/10/2015,1:45 PM,False,MEM109
CISC275011,02/12/2015,12:30 PM,02/12/2015,1:45 PM,False,MEM109
CISC275011,02/17/2015,12:30 PM,02/17/2015,1:45 PM,False,MEM109
CISC275011,02/19/2015,12:30 PM,02/19/2015,1:45 PM,False,MEM109
CISC275011,02/24/2015,12:30 PM,02/24/2015,1:45 PM,False,MEM109
CISC275011,02/26/2015,12:30 PM,02/26/2015,1:45 PM,False,MEM109
CISC275011,03/03/2015,12:30 PM,03/03/2015,1:45 PM,False,MEM109
CISC275011,03/05/2015,12:30 PM,03/05/2015,1:45 PM,False,MEM109
CISC275011,03/10/2015,12:30 PM,03/10/2015,1:45 PM,False,MEM109
CISC275011,03/12/2015,12:30 PM,03/12/2015,1:45 PM,False,MEM109
CISC275011,03/17/2015,12:30 PM,03/17/2015,1:45 PM,False,MEM109
CISC275011,03/19/2015,12:30 PM,03/19/2015,1:45 PM,False,MEM109
CISC275011,03/24/2015,12:30 PM,03/24/2015,1:45 PM,False,MEM109
CISC275011,03/26/2015,12:30 PM,03/26/2015,1:45 PM,False,MEM109
CISC275011,04/07/2015,12:30 PM,04/07/2015,1:45 PM,False,MEM109
CISC275011,04/09/2015,12:30 PM,04/09/2015,1:45 PM,False,MEM109
CISC275011,04/14/2015,12:30 PM,04/14/2015,1:45 PM,False,MEM109
CISC275011,04/16/2015,12:30 PM,04/16/2015,1:45 PM,False,MEM109
CISC275011,04/21/2015,12:30 PM,04/21/2015,1:45 PM,False,MEM109
CISC275011,04/23/2015,12:30 PM,04/23/2015,1:45 PM,False,MEM109
CISC275011,04/28/2015,12:30 PM,04/28/2015,1:45 PM,False,MEM109
CISC275011,04/30/2015,12:30 PM,04/30/2015,1:45 PM,False,MEM109
CISC275011,05/05/2015,12:30 PM,05/05/2015,1:45 PM,False,MEM109
CISC275011,05/07/2015,12:30 PM,05/07/2015,1:45 PM,False,MEM109
CISC275011,05/12/2015,12:30 PM,05/12/2015,1:45 PM,False,MEM109
CISC275011,05/14/2015,12:30 PM,05/14/2015,1:45 PM,False,MEM109
CISC275030L,02/10/2015,2:30 PM,02/10/2015,3:20 PM,False,SPL010
CISC275030L,02/17/2015,2:30 PM,02/17/2015,3:20 PM,False,SPL010
CISC275030L,02/24/2015,2:30 PM,02/24/2015,3:20 PM,False,SPL010
CISC275030L,03/03/2015,2:30 PM,03/03/2015,3:20 PM,False,SPL010
CISC275030L,03/10/2015,2:30 PM,03/10/2015,3:20 PM,False,SPL010
CISC275030L,03/17/2015,2:30 PM,03/17/2015,3:20 PM,False,SPL010
CISC275030L,03/24/2015,2:30 PM,03/24/2015,3:20 PM,False,SPL010
CISC275030L,04/07/2015,2:30 PM,04/07/2015,3:20 PM,False,SPL010
CISC275030L,04/14/2015,2:30 PM,04/14/2015,3:20 PM,False,SPL010
CISC275030L,04/21/2015,2:30 PM,04/21/2015,3:20 PM,False,SPL010
CISC275030L,04/28/2015,2:30 PM,04/28/2015,3:20 PM,False,SPL010
CISC275030L,05/05/2015,2:30 PM,05/05/2015,3:20 PM,False,SPL010
CISC275030L,05/12/2015,2:30 PM,05/12/2015,3:20 PM,False,SPL010
CPEG222010,02/09/2015,1:25 PM,02/09/2015,2:15 PM,False,WHL109
CPEG222010,02/11/2015,1:25 PM,02/11/2015,2:15 PM,False,WHL109
CPEG222010,02/13/2015,1:25 PM,02/13/2015,2:15 PM,False,WHL109
CPEG222010,02/16/2015,1:25 PM,02/16/2015,2:15 PM,False,WHL109
CPEG222010,02/18/2015,1:25 PM,02/18/2015,2:15 PM,False,WHL109
CPEG222010,02/20/2015,1:25 PM,02/20/2015,2:15 PM,False,WHL109
CPEG222010,02/23/2015,1:25 PM,02/23/2015,2:15 PM,False,WHL109
CPEG222010,02/25/2015,1:25 PM,02/25/2015,2:15 PM,False,WHL109
CPEG222010,02/27/2015,1:25 PM,02/27/2015,2:15 PM,False,WHL109
CPEG222010,03/02/2015,1:25 PM,03/02/2015,2:15 PM,False,WHL109
CPEG222010,03/04/2015,1:25 PM,03/04/2015,2:15 PM,False,WHL109
CPEG222010,03/06/2015,1:25 PM,03/06/2015,2:15 PM,False,WHL109
CPEG222010,03/09/2015,1:25 PM,03/09/2015,2:15 PM,False,WHL109
CPEG222010,03/11/2015,1:25 PM,03/11/2015,2:15 PM,False,WHL109
CPEG222010,03/13/2015,1:25 PM,03/13/2015,2:15 PM,False,WHL109
CPEG222010,03/16/2015,1:25 PM,03/16/2015,2:15 PM,False,WHL109
CPEG222010,03/18/2015,1:25 PM,03/18/2015,2:15 PM,False,WHL109
CPEG222010,03/20/2015,1:25 PM,03/20/2015,2:15 PM,False,WHL109
CPEG222010,03/23/2015,1:25 PM,03/23/2015,2:15 PM,False,WHL109
CPEG222010,03/25/2015,1:25 PM,03/25/2015,2:15 PM,False,WHL109
CPEG222010,03/27/2015,1:25 PM,03/27/2015,2:15 PM,False,WHL109
CPEG222010,04/06/2015,1:25 PM,04/06/2015,2:15 PM,False,WHL109
CPEG222010,04/08/2015,1:25 PM,04/08/2015,2:15 PM,False,WHL109
CPEG222010,04/10/2015,1:25 PM,04/10/2015,2:15 PM,False,WHL109
CPEG222010,04/13/2015,1:25 PM,04/13/2015,2:15 PM,False,WHL109
CPEG222010,04/15/2015,1:25 PM,04/15/2015,2:15 PM,False,WHL109
CPEG222010,04/17/2015,1:25 PM,04/17/2015,2:15 PM,False,WHL109
CPEG222010,04/20/2015,1:25 PM,04/20/2015,2:15 PM,False,WHL109
CPEG222010,04/22/2015,1:25 PM,04/22/2015,2:15 PM,False,WHL109
CPEG222010,04/24/2015,1:25 PM,04/24/2015,2:15 PM,False,WHL109
CPEG222010,04/27/2015,1:25 PM,04/27/2015,2:15 PM,False,WHL109
CPEG222010,04/29/2015,1:25 PM,04/29/2015,2:15 PM,False,WHL109
CPEG222010,05/01/2015,1:25 PM,05/01/2015,2:15 PM,False,WHL109
CPEG222010,05/04/2015,1:25 PM,05/04/2015,2:15 PM,False,WHL109
CPEG222010,05/06/2015,1:25 PM,05/06/2015,2:15 PM,False,WHL109
CPEG222010,05/08/2015,1:25 PM,05/08/2015,2:15 PM,False,WHL109
CPEG222010,05/11/2015,1:25 PM,05/11/2015,2:15 PM,False,WHL109
CPEG222010,05/13/2015,1:25 PM,05/13/2015,2:15 PM,False,WHL109
CPEG222010,05/15/2015,1:25 PM,05/15/2015,2:15 PM,False,WHL109
CPEG222010,05/18/2015,1:25 PM,05/18/2015,2:15 PM,False,WHL109
ELEG310010,02/10/2015,9:30 AM,02/10/2015,10:45 AM,False,GOR104
ELEG310010,02/12/2015,9:30 AM,02/12/2015,10:45 AM,False,GOR104
ELEG310010,02/17/2015,9:30 AM,02/17/2015,10:45 AM,False,GOR104
ELEG310010,02/19/2015,9:30 AM,02/19/2015,10:45 AM,False,GOR104
ELEG310010,02/24/2015,9:30 AM,02/24/2015,10:45 AM,False,GOR104
ELEG310010,02/26/2015,9:30 AM,02/26/2015,10:45 AM,False,GOR104
ELEG310010,03/03/2015,9:30 AM,03/03/2015,10:45 AM,False,GOR104
ELEG310010,03/05/2015,9:30 AM,03/05/2015,10:45 AM,False,GOR104
ELEG310010,03/10/2015,9:30 AM,03/10/2015,10:45 AM,False,GOR104
ELEG310010,03/12/2015,9:30 AM,03/12/2015,10:45 AM,False,GOR104
